ID,Nama,NIK,No_WA,Alamat,Desa,Nominal
142,Budi 89,3507022426720001,81668425057,Jl. Segaran No. 43,Segaran,Rp100.000
143,Wati 71,3507026460930001,81906559612,Jl. Segaran No. 44,Segaran,Rp150.000
144,Sugeng 5,3507022310340001,81905510278,Jl. Segaran No. 45,Segaran,Rp50.000
145,Agus 46,3507026255550001,81918088897,Jl. Segaran No. 46,Segaran,Rp115.000
146,Joko 25,3507024222930001,81324074189,Jl. Segaran No. 47,Segaran,Rp115.000
147,Johan 87,3507023101140001,81422687098,Jl. Segaran No. 48,Segaran,Rp115.000
148,Siti 30,3507025601660001,81979800486,Jl. Segaran No. 49,Segaran,Rp100.000
149,Sugeng 24,3507024287470001,81246743319,Jl. Segaran No. 50,Segaran,Rp100.000
200,Sugeng,3507027021140001,81328049672,Jl. Gondang Legi No. 1,Gondang Legi,Rp115.000
201,Peyek,3507023874060001,81549447773,Jl. Gondang Legi No. 2,Gondang Legi,Rp100.000
202,Pak mul,3507025238420001,81751101133,Jl. Gondang Legi No. 3,Gondang Legi,Rp150.000
203,Yuli,3507027217570001,81341067037,Jl. Gondang Legi No. 4,Gondang Legi,Rp115.000
204,Indah,3507029793640001,81736850967,Jl. Gondang Legi No. 5,Gondang Legi,Rp150.000
205,Wati 41,3507021389530001,81683073708,Jl. Gondang Legi No. 6,Gondang Legi,Rp150.000
206,Indah 33,3507024964770001,81145048444,Jl. Gondang Legi No. 7,Gondang Legi,Rp150.000
207,Lilik 14,3507026636420001,81416568755,Jl. Gondang Legi No. 8,Gondang Legi,Rp150.000
208,Irma 29,3507026939220001,81655312623,Jl. Gondang Legi No. 9,Gondang Legi,Rp115.000
209,Budi 13,3507026099670001,81433327624,Jl. Gondang Legi No. 10,Gondang Legi,Rp150.000
210,Bambang 100,3507027511840001,81414692065,Jl. Gondang Legi No. 11,Gondang Legi,Rp100.000
211,Budi 83,3507028186120001,81889514350,Jl. Gondang Legi No. 12,Gondang Legi,Rp150.000
212,Maya 98,3507027160810001,81198996153,Jl. Gondang Legi No. 13,Gondang Legi,Rp115.000
213,Maya 91,3507023765870001,81737404926,Jl. Gondang Legi No. 14,Gondang Legi,Rp150.000
214,Rina 35,3507024522230001,81786858237,Jl. Gondang Legi No. 15,Gondang Legi,Rp100.000
215,Agus 14,3507025252500001,81521352794,Jl. Gondang Legi No. 16,Gondang Legi,Rp150.000
216,Siti 38,3507023565840001,81505686968,Jl. Gondang Legi No. 17,Gondang Legi,Rp115.000
217,Lilik 15,3507026185060001,81698665111,Jl. Gondang Legi No. 18,Gondang Legi,Rp150.000
218,Irma 2,3507024710690001,81353990959,Jl. Gondang Legi No. 19,Gondang Legi,Rp115.000
219,Sugeng 35,3507026141140001,81624486810,Jl. Gondang Legi No. 20,Gondang Legi,Rp115.000
220,Johan 66,3507029662720001,81723069309,Jl. Gondang Legi No. 21,Gondang Legi,Rp115.000
221,Gita 8,3507023060320001,81418753165,Jl. Gondang Legi No. 22,Gondang Legi,Rp150.000
222,Rina 79,3507022896750001,81988519566,Jl. Gondang Legi No. 23,Gondang Legi,Rp115.000
223,Lilik 44,3507026487970001,81745461857,Jl. Gondang Legi No. 24,Gondang Legi,Rp115.000
224,Dedi 84,3507025537480001,81149885100,Jl. Gondang Legi No. 25,Gondang Legi,Rp150.000
225,Gita 88,3507029292310001,81829108453,Jl. Gondang Legi No. 26,Gondang Legi,Rp150.000
226,Joko 50,3507022211720001,81901411461,Jl. Gondang Legi No. 27,Gondang Legi,Rp50.000
227,Joko 3,3507029685860001,81724589749,Jl. Gondang Legi No. 28,Gondang Legi,Rp115.000
228,Joko 32,3507027779330001,81575433216,Jl. Gondang Legi No. 29,Gondang Legi,Rp50.000
229,Lilik 41,3507023762310001,81145007363,Jl. Gondang Legi No. 30,Gondang Legi,Rp100.000
230,Bambang 77,3507027896010001,81446071101,Jl. Gondang Legi No. 31,Gondang Legi,Rp150.000
231,Andi 9,3507025602600001,81782689137,Jl. Gondang Legi No. 32,Gondang Legi,Rp50.000
232,Eka 32,3507023952630001,81156154707,Jl. Gondang Legi No. 33,Gondang Legi,Rp150.000
233,Dedi 88,3507029420950001,81781808087,Jl. Gondang Legi No. 34,Gondang Legi,Rp50.000
234,Lilik 84,3507028242850001,81217521020,Jl. Gondang Legi No. 35,Gondang Legi,Rp50.000
235,Heri 3,3507028875590001,81122889312,Jl. Gondang Legi No. 36,Gondang Legi,Rp115.000
236,Agus 50,3507023269400001,81941389518,Jl. Gondang Legi No. 37,Gondang Legi,Rp115.000
237,Indah 65,3507027250780001,81364326313,Jl. Gondang Legi No. 38,Gondang Legi,Rp150.000
238,Budi 41,3507026146700001,81829039898,Jl. Gondang Legi No. 39,Gondang Legi,Rp150.000
239,Johan 9,3507021502980001,81876581521,Jl. Gondang Legi No. 40,Gondang Legi,Rp100.000
240,Bambang 52,3507024179990001,81831183576,Jl. Gondang Legi No. 41,Gondang Legi,Rp100.000
241,Wati 1,3507024620000001,81721261185,Jl. Gondang Legi No. 42,Gondang Legi,Rp115.000
242,Eka 21,3507026385870001,81427494616,Jl. Gondang Legi No. 43,Gondang Legi,Rp115.000
243,Siti 87,3507028538400001,81307146563,Jl. Gondang Legi No. 44,Gondang Legi,Rp100.000
244,Gita 71,3507027800740001,81133002865,Jl. Gondang Legi No. 45,Gondang Legi,Rp115.000
245,Indah 59,3507029833490001,81919862819,Jl. Gondang Legi No. 46,Gondang Legi,Rp150.000
246,Budi 31,3507029984050001,81723883912,Jl. Gondang Legi No. 47,Gondang Legi,Rp100.000
247,Eka 86,3507029292820001,81596642259,Jl. Gondang Legi No. 48,Gondang Legi,Rp115.000
248,Gita 99,3507027491520001,81603807053,Jl. Gondang Legi No. 49,Gondang Legi,Rp50.000
249,Eka 87,3507027195250001,81694182137,Jl. Gondang Legi No. 50,Gondang Legi,Rp100.000
