134,Johan 63,Rp50.000,Rp50.000,,,Rp50.000,,Rp50.000,Rp50.000,,,,Rp50.000,,,,,,,,Rp50.000,Rp50.000,,Rp50.000,Rp50.000
135,Eka 1,Rp115.000,,,,,,,,,Rp115.000,,,,,,,,,,Rp115.000,,,Rp115.000,Rp115.000
136,Heri 50,Rp50.000,,Rp50.000,,,,,,,,,,,,,,,Rp50.000,,,,Rp50.000,,Rp50.000
137,Indah 29,Rp50.000,,,,Rp50.000,,,Rp50.000,,,Rp50.000,Rp50.000,,,Rp50.000,Rp50.000,,,,Rp50.000,Rp50.000,,,
138,Budi 28,Rp115.000,,,,,,,Rp115.000,,,,,,Rp115.000,,Rp115.000,,,Rp115.000,,,,Rp115.000,
139,Lilik 4,Rp150.000,,,,,Rp150.000,,,,,,,,,Rp150.000,,Rp150.000,,,,,,,
140,Sugeng 91,Rp100.000,,,,Rp100.000,Rp100.000,Rp100.000,,,Rp100.000,,,Rp100.000,,,,,,,Rp100.000,,,Rp100.000,
141,Maya 54,Rp150.000,,,,,,,,Rp150.000,,,Rp150.000,Rp150.000,,,Rp150.000,,,Rp150.000,,,,,
142,Budi 89,Rp100.000,,,,Rp100.000,,,Rp100.000,,,,Rp100.000,,Rp100.000,,Rp100.000,,Rp100.000,Rp100.000,,Rp100.000,,,
143,Wati 71,Rp150.000,Rp150.000,,,,,Rp150.000,,,,Rp150.000,,Rp150.000,,,,,,,,,,,Rp150.000
144,Sugeng 5,Rp50.000,,,Rp50.000,,,Rp50.000,Rp50.000,Rp50.000,,,Rp50.000,,,Rp50.000,Rp50.000,,,,,,Rp50.000,,
145,Agus 46,Rp115.000,,,,,,,,,,,,,,Rp115.000,,,,Rp115.000,,Rp115.000,,,Rp115.000
146,Joko 25,Rp115.000,,,Rp115.000,,,,,Rp115.000,,,,,,Rp115.000,Rp115.000,Rp115.000,,Rp115.000,,Rp115.000,,,Rp115.000
147,Johan 87,Rp115.000,Rp115.000,,,,,,,,,,,Rp115.000,,,,,,Rp115.000,,,Rp115.000,Rp115.000,
148,Siti 30,Rp100.000,Rp100.000,,Rp100.000,Rp100.000,,,,,,,,Rp100.000,,Rp100.000,,Rp100.000,,,,,,,
149,Sugeng 24,Rp100.000,,Rp100.000,,,Rp100.000,,,,,,,Rp100.000,,,,,Rp100.000,Rp100.000,,,Rp100.000,Rp100.000,
